epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0097,1.38702,2.70723,3.6047,1.17037,0.00639,0.10794,0.00728,0.00608,0.00632,0.10752,0.00744,0.00611,1.0614,2.15396,3.5915,0.91943,7.145e-05,7.145e-05,7.145e-05
2,13.3939,1.30213,2.62702,3.27751,1.0857,0.01926,0.29589,0.13074,0.09469,0.01832,0.21504,0.12261,0.0941,1.21242,2.2935,3.5056,0.9392,0.000155634,0.000155634,0.000155634
3,16.8996,1.19536,2.11984,2.22502,1.01537,0.02307,0.29929,0.17075,0.12794,0.02443,0.37177,0.16186,0.12001,1.16299,2.12073,3.29736,0.91324,0.00023812,0.00023812,0.00023812
4,21.8485,1.26623,2.21363,1.86133,1.05698,0.33817,0.14949,0.18266,0.135,0.33817,0.14949,0.18041,0.12829,1.13685,2.13853,3.20639,0.91515,0.000318909,0.000318909,0.000318909
5,25.8545,1.11545,2.06304,1.67432,1.01403,0.01918,0.26596,0.15076,0.11391,0.01786,0.23759,0.13607,0.10622,1.13542,2.17537,3.20197,0.9345,0.000397999,0.000397999,0.000397999
6,29.5014,1.15158,2.08711,1.49598,1.01543,0.16811,0.15461,0.12604,0.10613,0.06425,0.16794,0.12689,0.10548,1.14251,2.11516,3.20945,0.96259,0.000475393,0.000475393,0.000475393
7,33.6777,1.15126,2.04357,1.42081,1.03968,0.94607,0.03333,0.1173,0.10082,0.94607,0.03333,0.11827,0.09953,1.15269,2.08577,3.12775,0.9857,0.000551088,0.000551088,0.000551088
8,38.1813,1.09758,2.03745,1.40849,1.02687,0.79795,0.06043,0.15055,0.12248,0.79795,0.06043,0.15288,0.11941,1.14794,2.23094,2.91735,0.98364,0.000625086,0.000625086,0.000625086
9,41.5752,1.0584,1.89095,1.24632,0.99113,0.81228,0.07416,0.2322,0.18223,0.81228,0.07416,0.2322,0.16853,1.17276,2.22849,2.67608,0.97839,0.000697386,0.000697386,0.000697386
10,45.2743,1.03346,1.87351,1.2348,0.99413,0.75381,0.08709,0.26617,0.18552,0.75381,0.08709,0.25696,0.16148,1.17745,2.15511,2.59843,0.97944,0.000767989,0.000767989,0.000767989
11,49.9595,1.12245,2.0967,1.28415,1.03137,0.62033,0.09211,0.17853,0.12918,0.62033,0.09211,0.17606,0.12002,1.21496,2.17986,2.58984,0.99045,0.000836894,0.000836894,0.000836894
12,53.8755,1.06833,1.9084,1.20023,0.99963,0.57185,0.18709,0.20481,0.13903,0.57185,0.18709,0.20511,0.13507,1.25588,2.24792,2.58861,1.0057,0.000904101,0.000904101,0.000904101
13,57.2274,1.04568,1.94538,1.1385,0.99358,0.58035,0.20043,0.3314,0.22898,0.58035,0.20043,0.32991,0.21996,1.24668,2.07627,2.35913,0.98903,0.000969611,0.000969611,0.000969611
14,61.3155,1.0925,2.01048,1.1665,1.01536,0.57347,0.21972,0.34298,0.23807,0.57347,0.21972,0.34617,0.22565,1.28672,2.22585,2.29205,1.00645,0.00103342,0.00103342,0.00103342
15,66.1905,1.07949,2.01039,1.29591,1.03653,0.55706,0.26794,0.35934,0.24228,0.55706,0.26794,0.35187,0.2206,1.25689,2.14643,2.22103,0.99568,0.00109554,0.00109554,0.00109554
